x,y,z,tf
31.073,7.558,0,-9.36
31.073,6.718,0.84,-13.524
31.912,6.718,0,-8.978
32.752,7.558,0,-5.952
32.752,6.718,0.84,-8.978
31.912,7.558,0.84,-13.028
31.073,5.879,1.68,-14.056
32.752,5.879,1.68,-9.36
31.912,5.879,2.519,-13.611
31.073,7.558,1.68,-14.056
31.073,6.718,2.519,-14.153
31.912,6.718,1.68,-13.524
32.752,7.558,1.68,-9.36
32.752,6.718,2.519,-9.425
31.912,7.558,2.519,-13.61
0,8.398,0,-5.952
0.84,9.238,0,-8.977
0.84,8.398,0.84,-13.028
0,9.238,0.84,-8.977
1.68,8.398,0,-9.36
2.519,9.238,0,-9.425
2.519,8.398,0.84,-13.61
1.68,9.238,0.84,-13.524
0,10.078,0,-5.952
0.84,10.917,0,-8.977
0.84,10.078,0.84,-13.028
0,10.917,0.84,-8.977
1.68,10.078,0,-9.36
2.519,10.917,0,-9.425
2.519,10.078,0.84,-13.61
1.68,10.917,0.84,-13.524
0,8.398,1.68,-9.36
0.84,9.238,1.68,-13.524
0.84,8.398,2.519,-13.61
0,9.238,2.519,-9.425
1.68,8.398,1.68,-14.056
2.519,9.238,1.68,-14.153
2.519,8.398,2.519,-14.255
1.68,9.238,2.519,-14.153
0,10.078,1.68,-9.36
0.84,10.917,1.68,-13.524
0.84,10.078,2.519,-13.61
0,10.917,2.519,-9.425
1.68,10.078,1.68,-14.056
2.519,10.917,1.68,-14.153
2.519,10.078,2.519,-14.255
1.68,10.917,2.519,-14.153
3.359,8.398,0,-9.442
4.199,9.238,0,-9.446
4.199,8.398,0.84,-13.638
3.359,9.238,0.84,-13.632
5.039,8.398,0,-9.446
5.039,9.238,0.84,-13.638
3.359,10.078,0,-9.442
4.199,10.917,0,-9.446
4.199,10.078,0.84,-13.638
3.359,10.917,0.84,-13.632
5.039,10.078,0,-9.446
5.039,10.917,0.84,-13.638
3.359,8.398,1.68,-14.178
4.199,9.238,1.68,-14.185
4.199,8.398,2.519,-14.289
3.359,9.238,2.519,-14.282
5.039,8.398,1.68,-14.185
5.039,9.238,2.519,-14.289
3.359,10.078,1.68,-14.178
4.199,10.917,1.68,-14.185
4.199,10.078,2.519,-14.289
3.359,10.917,2.519,-14.282
5.039,10.078,1.68,-14.185
5.039,10.917,2.519,-14.289
5.879,9.238,0,-9.446
5.879,8.398,0.84,-13.638
